subject_id,task,premise_1,premise_2,number_models_generated,std_models_generated,minimum_models_generated,maximum_models_generated,n_samples,n_parameter_sets_used,epsilon,lambda,omega,sigma
65028,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
65028,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
65048,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
65048,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
65048,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
65048,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
65063,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.5,0.2
65063,2,All B are C,All A are B,2.15,0.3571,2,3,20,1,0.5,4.05,0.5,0.2
65063,3,All B are C,All A are C,2.2,0.4,2,3,20,1,0.5,4.05,0.5,0.2
65063,4,All B are C,No A are B,2.5,1.533,2,8,20,1,0.5,4.05,0.5,0.2
65065,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
65065,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
65065,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
65065,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
65071,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
65071,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
65071,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
65071,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
65079,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.7000000000000001,0.9
65079,2,All B are C,All A are B,2.5,0.5,2,3,20,1,0.5,4.05,0.7000000000000001,0.9
65079,3,All B are C,All A are C,2.95,0.2179,2,3,20,1,0.5,4.05,0.7000000000000001,0.9
65079,4,All B are C,No A are B,6.6,1.241,2,8,20,1,0.5,4.05,0.7000000000000001,0.9
65080,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
65080,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
65080,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
65080,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
65088,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.5,0.2
65088,2,All B are C,All A are B,2.15,0.3571,2,3,20,1,0.5,4.05,0.5,0.2
65088,3,All B are C,All A are C,2.2,0.4,2,3,20,1,0.5,4.05,0.5,0.2
65088,4,All B are C,No A are B,2.5,1.533,2,8,20,1,0.5,4.05,0.5,0.2
65112,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
65112,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
65112,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
