subject_id,task_type,models_n3,models_n10,models_n20,difference_n10_minus_n3,difference_n20_minus_n3,difference_n20_minus_n10
65502,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65502,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
65502,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65502,MT,2.0,2.0,2.0,0.0,0.0,0.0
65527,AC,3.0,2.9,2.95,-0.10000000000000009,-0.04999999999999982,0.050000000000000266
65527,DA,6.3333,6.6,6.6,0.26669999999999927,0.26669999999999927,0.0
65527,MP,2.0,2.5,2.5,0.5,0.5,0.0
65527,MT,2.0,2.0,2.0,0.0,0.0,0.0
65554,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65554,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
65554,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65554,MT,2.0,2.0,2.0,0.0,0.0,0.0
65585,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65585,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
65585,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65585,MT,2.0,2.0,2.0,0.0,0.0,0.0
65600,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
65600,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
65600,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
65600,MT,2.0,2.0,2.0,0.0,0.0,0.0
65909,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
65909,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
65909,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
65909,MT,2.0,2.0,2.0,0.0,0.0,0.0
65973,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65973,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
65973,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65973,MT,2.0,2.0,2.0,0.0,0.0,0.0
65995,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
65995,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
65995,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
65995,MT,2.0,2.0,2.0,0.0,0.0,0.0
66020,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
66020,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
66020,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
66020,MT,2.0,2.0,2.0,0.0,0.0,0.0
66022,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
66022,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
66022,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
66022,MT,2.0,2.0,2.0,0.0,0.0,0.0
66036,AC,3.0,2.7,2.45,-0.2999999999999998,-0.5499999999999998,-0.25
66036,DA,3.3333,5.1,4.2,1.7666999999999997,0.8667000000000002,-0.8999999999999995
66036,MP,2.3333,2.5,2.3,0.16670000000000007,-0.03330000000000011,-0.20000000000000018
66036,MT,2.0,2.0,2.0,0.0,0.0,0.0
66050,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
66050,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
66050,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
66050,MT,2.0,2.0,2.0,0.0,0.0,0.0
66057,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
66057,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
66057,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
