subject_id,task,premise_1,premise_2,number_models_generated,std_models_generated,minimum_models_generated,maximum_models_generated,n_samples,n_parameter_sets_used,epsilon,lambda,omega,sigma,task_type,simulation_setting
64926,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.5,MP,3
64926,3,All B are C,All A are C,2.6667,0.4714,2,3,3,1,0.5,4.05,0.5,0.5,AC,3
64926,4,All B are C,No A are B,3.3333,1.8856,2,6,3,1,0.5,4.05,0.5,0.5,DA,3
64939,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,MT,3
64939,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.6000000000000001,0.1,MP,3
64939,3,All B are C,All A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,AC,3
64939,4,All B are C,No A are B,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,DA,3
64947,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.5,0.2,MT,3
64947,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.2,MP,3
64947,3,All B are C,All A are C,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.2,AC,3
64947,4,All B are C,No A are B,3.6667,2.357,2,7,3,1,0.5,4.05,0.5,0.2,DA,3
64973,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.5,0.2,MT,3
64973,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.2,MP,3
64973,3,All B are C,All A are C,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.2,AC,3
64973,4,All B are C,No A are B,3.6667,2.357,2,7,3,1,0.5,4.05,0.5,0.2,DA,3
64976,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,MT,3
64976,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.6000000000000001,0.1,MP,3
64976,3,All B are C,All A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,AC,3
64976,4,All B are C,No A are B,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,DA,3
65018,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.6000000000000001,3.26,0.0,0.5,MT,3
65018,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.6000000000000001,3.26,0.0,0.5,MP,3
65018,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.6000000000000001,3.26,0.0,0.5,AC,3
65018,4,All B are C,No A are B,3.3333,1.8856,2,6,3,1,0.6000000000000001,3.26,0.0,0.5,DA,3
65021,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.2,0.9,MT,3
65021,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.2,0.9,MP,3
65021,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.5,4.05,0.2,0.9,AC,3
65021,4,All B are C,No A are B,5.3333,2.357,2,7,3,1,0.5,4.05,0.2,0.9,DA,3
65028,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.2,0.9,MT,3
65028,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.2,0.9,MP,3
65028,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.5,4.05,0.2,0.9,AC,3
65028,4,All B are C,No A are B,5.3333,2.357,2,7,3,1,0.5,4.05,0.2,0.9,DA,3
65048,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,MT,3
65048,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.6000000000000001,0.1,MP,3
65048,3,All B are C,All A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,AC,3
65048,4,All B are C,No A are B,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,DA,3
65063,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.5,0.2,MT,3
65063,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.2,MP,3
65063,3,All B are C,All A are C,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.2,AC,3
65063,4,All B are C,No A are B,3.6667,2.357,2,7,3,1,0.5,4.05,0.5,0.2,DA,3
65065,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.2,0.9,MT,3
65065,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.2,0.9,MP,3
65065,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.5,4.05,0.2,0.9,AC,3
65065,4,All B are C,No A are B,5.3333,2.357,2,7,3,1,0.5,4.05,0.2,0.9,DA,3
65071,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,MT,3
65071,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.6000000000000001,0.1,MP,3
65071,3,All B are C,All A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,AC,3
